Gene_name,amount_interactors,allinteractors,interactors_processed,IsBait
LSM7,35,FARP1;SNRPE;PRPF31;TMCO6;ZNF511;RAP1GDS1;USP39;NHP2L1;SART1;NAA38;PROSC;GEMIN6;LSM2;SART3;PRPF8;MEPCE;SBF2;PRPF6;LSM5;AKAP7;PRPF4;DDX23;SNRPD1;SIP1;SNRPB;SNRPD2;HKDC1;WBP4;PATL1;SNRNP27;GEMIN8;RBM42;PPIH;TUT1;EFTUD2,FARP1;SNRPE;PRPF31;TMCO6;ZNF511;RAP1GDS1;USP39;NHP2L1;SART1;NAA38;PROSC;GEMIN6;LSM2;SART3;PRPF8;MEPCE;SBF2;PRPF6;LSM5;AKAP7;PRPF4;DDX23;SNRPD1;SIP1;SNRPB;SNRPD2;HKDC1;WBP4;PATL1;SNRNP27;GEMIN8;RBM42;PPIH;TUT1;EFTUD2,Y
GTF3C1,9,NUP98;BAG2;PPP6R1;GTF3C4;GTF3C2;POLR2F;GTF3C3;KIF19;SET,NUP98;BAG2;PPP6R1;GTF3C4;GTF3C2;POLR2F;GTF3C3;KIF19;SET,N
FCAR,2,EFR3B;PBLD,EFR3B;PBLD,Y
ACTL6B,58,PLEKHA3;TUBA1A;C17orf71;HCFC1;TUBB8;HIST1H2BG;DMAP1;MAP7;HIST3H2BB;NDUFS5;HIST1H2BI;LMO3;DPF1;SENP5;ETV3;ZNHIT1;DPF3;SPRED2;RUVBL2;RIT1;HJURP;SMARCB1;SMARCD1;SETX;DDX28;RING1;SEPN1;PRELID1;MARCH7;MTPAP;FRMD5;GBP3;CBWD3;BCL7C;YEATS4;MRPL27;INO80;SS18;STAG3L1;RECQL4;H2AFZ;IQSEC1;WDR8;DPF2;HSPA8;METTL10;SS18L2;HIST1H2BA;ATP6V1C2;IQGAP3;LGMN;UHRF1BP1;SMARCC2;RUVBL1;TEP1;SLC35A5;CR1L;BCL7A,PLEKHA3;TUBA1A;C17orf71;HCFC1;TUBB8;HIST1H2BG;DMAP1;MAP7;HIST3H2BB;NDUFS5;HIST1H2BI;LMO3;DPF1;SENP5;ETV3;ZNHIT1;DPF3;SPRED2;RUVBL2;RIT1;HJURP;SMARCB1;SMARCD1;SETX;DDX28;RING1;SEPN1;PRELID1;MARCH7;MTPAP;FRMD5;GBP3;CBWD3;BCL7C;YEATS4;MRPL27;INO80;SS18;STAG3L1;RECQL4;H2AFZ;IQSEC1;WDR8;DPF2;HSPA8;METTL10;SS18L2;HIST1H2BA;ATP6V1C2;IQGAP3;LGMN;UHRF1BP1;SMARCC2;RUVBL1;TEP1;SLC35A5;CR1L;BCL7A,Y
NME4,21,PFDN5;TPP1;SCGB2A2;TMEM25;ABTB2;TUB;LRP1;UQCRFS1;CD79A;NME1;USP32;DKK3;CPA5;YBEY;COL8A1;NME1-NME2;NME3;ITGB8;CBWD2;GATC;TSPYL6,PFDN5;TPP1;SCGB2A2;TMEM25;ABTB2;TUB;LRP1;UQCRFS1;CD79A;NME1;USP32;DKK3;CPA5;YBEY;COL8A1;NME1-NME2;NME3;ITGB8;CBWD2;GATC;TSPYL6,N
SSX1,4,CRIP2;NCALD;CPSF7;ACO1,CRIP2;NCALD;CPSF7;ACO1,Y
MOSC1,19,SIDT2;C3orf52;CHRNA4;TMEM30A;LRRTM1;MARCH4;SRPRB;MAGEA8;CXorf27;ZNRF4;KCNMB3;KCNA2;PCDHGC4;CHST15;SPINT2;GDPD5;PCDHGA5;CHRNB2;UGT1A7,SIDT2;C3orf52;CHRNA4;TMEM30A;LRRTM1;MARCH4;SRPRB;MAGEA8;CXorf27;ZNRF4;KCNMB3;KCNA2;PCDHGC4;CHST15;SPINT2;GDPD5;PCDHGA5;CHRNB2;UGT1A7,N
LPIN3,14,VASP;NFXL1;LPIN1;TRAF2;BIRC6;BIRC2;SMG6;CSNK2A1;ENAH;CSNK2A2;LPIN2;DYRK1A;HDAC6;CAMKK1,VASP;NFXL1;LPIN1;TRAF2;BIRC6;BIRC2;SMG6;CSNK2A1;ENAH;CSNK2A2;LPIN2;DYRK1A;HDAC6;CAMKK1,Y
TPH1,5,MCM10;TPH2;YEATS4;RFWD3;DNAJC12,MCM10;TPH2;YEATS4;RFWD3;DNAJC12,Y
SOD2,1,UBR2,UBR2,Y
OCIAD1,99,PDXDC1;TUBGCP3;EDC4;GNL3;EVI5L;PGCP;INTS2;MTX3;IDH3G;RIF1;NCAPG;DFNA5;BTAF1;NCAPD2;TSC2;NCAPH;RINT1;SPAG6;CCNL2;COG7;GNAS;PIK3C3;TRRAP;RFX1;SLC6A8;SMEK1;USP34;AK4;FASTKD2;HMGCR;TARBP1;C19orf25;ARFGEF2;MAGED2;THADA;FAM114A2;ASMTL;FANCC;SMC4;UST;KCNK18;GBF1;SAAL1;ZW10;INTS3;COG3;LRRC16A;IPPK;ATM;COG2;SPG7;COG6;TNPO3;MZT2B;STAG2;NME2P1;LRBA;XPO6;CSTF2T;INSC;DOCK4;INTS12;COG1;SGSM1;C22orf41;AKAP14;C8orf41;GNAT2;EVI5;RIC8B;EXOC8;C1orf112;RFX6;DOLK;UTP20;ABCA2;HIP1R;DARS2;SYMPK;STAG1;NUP98;RGL4;INTS1;CLTCL1;XPO4;INTS8;ATXN10;COG8;KNTC1;SLC30A3;TIMM8A;EIF4G3;URB1;COG5;EXOC3;CDC23;COG4;ABCB7;RFX2,PDXDC1;TUBGCP3;EDC4;GNL3;EVI5L;PGCP;INTS2;MTX3;IDH3G;RIF1;NCAPG;DFNA5;BTAF1;NCAPD2;TSC2;NCAPH;RINT1;SPAG6;CCNL2;COG7;GNAS;PIK3C3;TRRAP;RFX1;SLC6A8;SMEK1;USP34;AK4;FASTKD2;HMGCR;TARBP1;C19orf25;ARFGEF2;MAGED2;THADA;FAM114A2;ASMTL;FANCC;SMC4;UST;KCNK18;GBF1;SAAL1;ZW10;INTS3;COG3;LRRC16A;IPPK;ATM;COG2;SPG7;COG6;TNPO3;MZT2B;STAG2;NME2P1;LRBA;XPO6;CSTF2T;INSC;DOCK4;INTS12;COG1;SGSM1;C22orf41;AKAP14;C8orf41;GNAT2;EVI5;RIC8B;EXOC8;C1orf112;RFX6;DOLK;UTP20;ABCA2;HIP1R;DARS2;SYMPK;STAG1;NUP98;RGL4;INTS1;CLTCL1;XPO4;INTS8;ATXN10;COG8;KNTC1;SLC30A3;TIMM8A;EIF4G3;URB1;COG5;EXOC3;CDC23;COG4;ABCB7;RFX2,Y
ALDH4A1,18,QRSL1;GPR45;RAF1;ALDH4A1;ACSM5;FTSJ2;C7orf30;STK16;PYCR1;YARS2;AK4;FAHD1;CCR1;OIT3;LRRC46;SMAD2;FFAR1;RAB33A,QRSL1;GPR45;RAF1;ACSM5;FTSJ2;C7orf30;STK16;PYCR1;YARS2;AK4;FAHD1;CCR1;OIT3;LRRC46;SMAD2;FFAR1;RAB33A,Y
SFXN2,3,RBFOX2;CDK18;ALDH1A2,RBFOX2;CDK18;ALDH1A2,Y
KCNV1,2,HSPA8;BAG1,HSPA8;BAG1,Y
REG3G,1,HMGB1P1,HMGB1P1,Y
