Gene_name,amount_interactors,allinteractors,interactors_processed,IsBait
PSCA,99,AGPAT1;SLC44A5;ULBP3;GUF1;LAMB3;PLAUR;SEMA4F;WNT5A;SLC12A7;GLRB;LRP11;MFGE8;SGCB;GYLTL1B;PIGS;FAM132B;TMTC3;LOXL2;GPAA1;ATP7A;GALNS;ARSG;NXPH4;ITGA8;SLC12A2;BCHE;PIGK;PIGT;TMEM67;HLA-C;LRRC8E;METTL15;FAM5C;CACNA2D3;COL6A2;SEPN1;SPPL2B;EGFR;NOMO1;CLSTN1;ST3GAL4;CHID1;CERCAM;B4GALNT1;TGFBR1;TMEM2;HLA-B;SULF1;PLXNA1;PCSK9;SLC44A1;MAN2A2;DNAJA4;ADAMTS2;TXNDC15;FZD6;ITGAV;IDUA;GALNTL4;C3orf64;CD109;HYAL2;CACNA2D1;UGT3A2;ARSK;TCTN1;ST3GAL6;CDHR1;LARGE;GPC3;ITGA7;FAM69B;NAAA;C2orf28;GLB1L;FAM69A;CDC6;EXT2;PLXNA2;CACNA2D2;B3GNT2;SUSD1;GCNT1;GPR56;ANKRD46;ITGA4;POGLUT1;ADAM9;TGFBR3;GLT8D2;DGCR2;TRPM7;NFE2L3;MICA;PIGO;BMP7;ITGA6;MANEAL;VKORC1,AGPAT1;SLC44A5;ULBP3;GUF1;LAMB3;PLAUR;SEMA4F;WNT5A;SLC12A7;GLRB;LRP11;MFGE8;SGCB;GYLTL1B;PIGS;FAM132B;TMTC3;LOXL2;GPAA1;ATP7A;GALNS;ARSG;NXPH4;ITGA8;SLC12A2;BCHE;PIGK;PIGT;TMEM67;HLA-C;LRRC8E;METTL15;FAM5C;CACNA2D3;COL6A2;SEPN1;SPPL2B;EGFR;NOMO1;CLSTN1;ST3GAL4;CHID1;CERCAM;B4GALNT1;TGFBR1;TMEM2;HLA-B;SULF1;PLXNA1;PCSK9;SLC44A1;MAN2A2;DNAJA4;ADAMTS2;TXNDC15;FZD6;ITGAV;IDUA;GALNTL4;C3orf64;CD109;HYAL2;CACNA2D1;UGT3A2;ARSK;TCTN1;ST3GAL6;CDHR1;LARGE;GPC3;ITGA7;FAM69B;NAAA;C2orf28;GLB1L;FAM69A;CDC6;EXT2;PLXNA2;CACNA2D2;B3GNT2;SUSD1;GCNT1;GPR56;ANKRD46;ITGA4;POGLUT1;ADAM9;TGFBR3;GLT8D2;DGCR2;TRPM7;NFE2L3;MICA;PIGO;BMP7;ITGA6;MANEAL;VKORC1,Y
CPN1,4,BTBD1;KDM3B;CEP170;ALDH3A1,BTBD1;KDM3B;CEP170;ALDH3A1,Y
IQSEC2,1,IQSEC1,IQSEC1,Y
SSBP1,5,HERC2;NEURL4;IFI30;GOLPH3;NUDT12,HERC2;NEURL4;IFI30;GOLPH3;NUDT12,Y
S100B,125,DCLRE1B;ZNF709;S100B;PRIM2;ALAS1;CNTROB;ZBTB5;MORC4;PPFIBP1;TXNIP;SALL2;NOC4L;C12orf35;OFD1;FYTTD1;AHCTF1;UTP11L;FOXO3;CDKN2AIP;ERF;ORC6;ZBTB4;PUS7;ZNF714;TERF2;MAP7D3;MRPL30;HIC2;C5orf42;MTFR1;ARHGAP21;ATAD3A;CDK17;COX6B1;ZC3HC1;MYO1E;S100A4;GTF2F1;POLR3GL;ZNF451;NR2C2;MAP3K4;UBE3B;TTC28;ZNF516;RPL23;C3orf37;SALL3;ZNF295;DCAF13;MTMR12;FDXR;GFER;ATAD3B;PML;ZBED1;LOC81691;KDM2B;ZNF136;CCDC8;SENP5;RCOR2;NHSL1;NOP14;PPP1R13L;C21orf70;CCDC106;SGOL2;FLYWCH2;PIF1;FOXO4;NRIP1;POLD1;RICTOR;PRIM1;CTU1;LSM5;RAB11FIP1;SYDE2;MLLT11;SCML2;IQGAP2;ZBTB10;HEMK1;TTF2;ZNF764;PLCD3;ORC2;SENP2;CDK18;CCDC102A;ZNF507;ARID3B;CISD3;CCDC46;TIGD4;BCL7A;FAM178A;PEAK1;METTL18;RAVER1;CDC45;MAP7;TNKS1BP1;C18orf21;ATAD5;ZNF3;KDM3B;NSUN2;IQGAP1;ZNF536;POLDIP3;AGAP3;JAK1;ASB6;XRCC3;BCL7B;C12orf26;UTP14A;FAM64A;PHF8;S100P;INTS6;SALL1;PLEKHG3,DCLRE1B;ZNF709;PRIM2;ALAS1;CNTROB;ZBTB5;MORC4;PPFIBP1;TXNIP;SALL2;NOC4L;C12orf35;OFD1;FYTTD1;AHCTF1;UTP11L;FOXO3;CDKN2AIP;ERF;ORC6;ZBTB4;PUS7;ZNF714;TERF2;MAP7D3;MRPL30;HIC2;C5orf42;MTFR1;ARHGAP21;ATAD3A;CDK17;COX6B1;ZC3HC1;MYO1E;S100A4;GTF2F1;POLR3GL;ZNF451;NR2C2;MAP3K4;UBE3B;TTC28;ZNF516;RPL23;C3orf37;SALL3;ZNF295;DCAF13;MTMR12;FDXR;GFER;ATAD3B;PML;ZBED1;LOC81691;KDM2B;ZNF136;CCDC8;SENP5;RCOR2;NHSL1;NOP14;PPP1R13L;C21orf70;CCDC106;SGOL2;FLYWCH2;PIF1;FOXO4;NRIP1;POLD1;RICTOR;PRIM1;CTU1;LSM5;RAB11FIP1;SYDE2;MLLT11;SCML2;IQGAP2;ZBTB10;HEMK1;TTF2;ZNF764;PLCD3;ORC2;SENP2;CDK18;CCDC102A;ZNF507;ARID3B;CISD3;CCDC46;TIGD4;BCL7A;FAM178A;PEAK1;METTL18;RAVER1;CDC45;MAP7;TNKS1BP1;C18orf21;ATAD5;ZNF3;KDM3B;NSUN2;IQGAP1;ZNF536;POLDIP3;AGAP3;JAK1;ASB6;XRCC3;BCL7B;C12orf26;UTP14A;FAM64A;PHF8;S100P;INTS6;SALL1;PLEKHG3,Y
PHC2,9,SORT1;NAA11;CBX1;CBX4;SYNCRIP;RNF2;CBX8;RING1;CBX7,SORT1;NAA11;CBX1;CBX4;SYNCRIP;RNF2;CBX8;RING1;CBX7,N
AVPR2,104,PDXDC1;SYNGR2;ELOVL2;EXOC2;FITM2;MAD2L2;LASS6;BTAF1;PDS5A;NDUFB8;OSBPL8;RINT1;SGK196;ATP2B2;SLC30A5;SERINC1;BLK;TNFRSF10B;CHPT1;GOLGA5;STK17B;ATP8B2;SLC30A6;ST7;HMGCR;GXYLT2;ZMYM4;THADA;COQ5;FADS1;CLCN3;TTK;TMEM57;TNPO2;DYM;MFSD5;GOLPH3;ATRIP;ALG3;FAM20B;ATM;IPO8;IPO11;MZT2B;XPO6;HAUS7;KIAA1524;NR2F2;MFSD8;ABCB8;INTS12;SLC7A2;ATP13A3;SPPL3;ATP2B4;C14orf21;SLC35F5;HEATR2;SLC5A3;PDK1;TUBGCP2;SURF4;XPO7;SLC39A10;SLC25A46;PIGW;GJA1;ARV1;PIGN;SELT;ALG10;ATP8;FANCA;FAM108B1;VARS2;ATP2B3;SC5DL;PIGM;JPH1;DPY19L1;PAQR3;INTS1;FAM115C;XPO4;C9orf5;MAVS;ATL2;MRS2;SLC35F1;FNDC3A;VPS8;SLC19A2;YIPF3;EXOC3;GPR89A;FPGS;TMED1;STARD3;BRAT1;FASTKD1;TMEM160;TUBGCP4;NARS2;GLMN,PDXDC1;SYNGR2;ELOVL2;EXOC2;FITM2;MAD2L2;LASS6;BTAF1;PDS5A;NDUFB8;OSBPL8;RINT1;SGK196;ATP2B2;SLC30A5;SERINC1;BLK;TNFRSF10B;CHPT1;GOLGA5;STK17B;ATP8B2;SLC30A6;ST7;HMGCR;GXYLT2;ZMYM4;THADA;COQ5;FADS1;CLCN3;TTK;TMEM57;TNPO2;DYM;MFSD5;GOLPH3;ATRIP;ALG3;FAM20B;ATM;IPO8;IPO11;MZT2B;XPO6;HAUS7;KIAA1524;NR2F2;MFSD8;ABCB8;INTS12;SLC7A2;ATP13A3;SPPL3;ATP2B4;C14orf21;SLC35F5;HEATR2;SLC5A3;PDK1;TUBGCP2;SURF4;XPO7;SLC39A10;SLC25A46;PIGW;GJA1;ARV1;PIGN;SELT;ALG10;ATP8;FANCA;FAM108B1;VARS2;ATP2B3;SC5DL;PIGM;JPH1;DPY19L1;PAQR3;INTS1;FAM115C;XPO4;C9orf5;MAVS;ATL2;MRS2;SLC35F1;FNDC3A;VPS8;SLC19A2;YIPF3;EXOC3;GPR89A;FPGS;TMED1;STARD3;BRAT1;FASTKD1;TMEM160;TUBGCP4;NARS2;GLMN,Y
HSBP1,24,FARSB;CCDC53;EEA1;FAM24B;HSF2BP;C17orf59;CCHCR1;BEND3;POC1B;TMCC3;BSPRY;FAM9C;RNF175;RCAN2;C1orf190;NUF2;COG7;C12orf44;C3orf10;IFT57;GSX1;PLDN;STX11;S100A4,FARSB;CCDC53;EEA1;FAM24B;HSF2BP;C17orf59;CCHCR1;BEND3;POC1B;TMCC3;BSPRY;FAM9C;RNF175;RCAN2;C1orf190;NUF2;COG7;C12orf44;C3orf10;IFT57;GSX1;PLDN;STX11;S100A4,N
SERPINB6,4,KLK13;PLAT;SERPINB8;RIPK1,KLK13;PLAT;SERPINB8;RIPK1,Y
GLA,7,RDH14;ALG11;DEPDC5;NPRL2;NPRL3;HLA-DRA;TMEM205,RDH14;ALG11;DEPDC5;NPRL2;NPRL3;HLA-DRA;TMEM205,Y
CAV2,29,TAS2R31;CCBP2;TMEM184A;AGPAT3;STBD1;TACR1;PDE3A;GOLT1A;EDNRA;S1PR4;MFSD8;TMEM147;NKAIN4;GPR141;C5AR1;P2RY2;DHCR24;SPPL2B;REEP1;TMEM72;YIPF3;REEP4;RER1;MOBKL1A;TMEM43;CAV1;AGPAT2;VIPR2;VKORC1,TAS2R31;CCBP2;TMEM184A;AGPAT3;STBD1;TACR1;PDE3A;GOLT1A;EDNRA;S1PR4;MFSD8;TMEM147;NKAIN4;GPR141;C5AR1;P2RY2;DHCR24;SPPL2B;REEP1;TMEM72;YIPF3;REEP4;RER1;MOBKL1A;TMEM43;CAV1;AGPAT2;VIPR2;VKORC1,N
ELP3,13,ZFYVE16;ELP4;CAMK2B;PTGES3;ACACB;SIRT3;C3orf75;NLN;ELP2;IKBKAP;C17orf81;KTI12;ETV3,ZFYVE16;ELP4;CAMK2B;PTGES3;ACACB;SIRT3;C3orf75;NLN;ELP2;IKBKAP;C17orf81;KTI12;ETV3,Y
FAM120B,9,OBFC1;ING2;TNFAIP6;FAM133A;FEM1A;TROAP;LSP1;EPB41L5;SURF6,OBFC1;ING2;TNFAIP6;FAM133A;FEM1A;TROAP;LSP1;EPB41L5;SURF6,N
STK19,2,ASB3;HSPD1,ASB3;HSPD1,Y
RPS11,5,PSMG3;EEF1A2;RPS3A;MDM2;FAM192A,PSMG3;EEF1A2;RPS3A;MDM2;FAM192A,Y
ATG12,13,RPS12;RPS8;RPL38;ATG16L1;RPL32;ATG12;AIMP1;ATG3;ATG5;RPL11;TECPR1;RB1CC1;EMC8,RPS12;RPS8;RPL38;ATG16L1;RPL32;AIMP1;ATG3;ATG5;RPL11;TECPR1;RB1CC1;EMC8,Y
TLR8,3,CNPY3;UNC93B1;ATP2A3,CNPY3;UNC93B1;ATP2A3,Y
PITRM1,43,CGB2;NBR2;NID2;ICK;NDUFS7;BCL2L12;C4orf26;LNP1;OGDHL;SPINK14;DKK1;CA5A;DEFB104A;FBXL19;KRT86;HOXA7;SNX17;PAX4;NCRNA00188;PLEKHG6;TIAL1;SLC25A10;EIF2C4;PRKCSH;REG4;SPINK2;FFAR1;KRT81;KRTAP13-2;HOXB1;C1orf158;CCL22;SPATA24;C9orf163;CEMP1;AMPD2;NAV3;C4orf40;C9orf152;TEKT3;PAPLN;C11orf1;KRTAP19-6,CGB2;NBR2;NID2;ICK;NDUFS7;BCL2L12;C4orf26;LNP1;OGDHL;SPINK14;DKK1;CA5A;DEFB104A;FBXL19;KRT86;HOXA7;SNX17;PAX4;NCRNA00188;PLEKHG6;TIAL1;SLC25A10;EIF2C4;PRKCSH;REG4;SPINK2;FFAR1;KRT81;KRTAP13-2;HOXB1;C1orf158;CCL22;SPATA24;C9orf163;CEMP1;AMPD2;NAV3;C4orf40;C9orf152;TEKT3;PAPLN;C11orf1;KRTAP19-6,Y
LDHD,45,ZC3HAV1;FAM98A;GSTK1;CKAP2;MAGT1;FBXO28;UBR7;MARK2;RPL30;SUGP1;LDHD;ACAD8;RPL22L1;GLTSCR2;C20orf7;REPIN1;ACOT2;ZGPAT;BCORL1;SP140L;CEP164;ACSS1;DHX30;SPATA5L1;ZNF577;DNLZ;MRPS21;SPAG1;MYH4;NIPBL;TCEB2;MB21D1;RPAP3;ZW10;C6orf150;SOGA1;ZKSCAN1;VRK2;MAP7D1;C2orf56;METTL8;RACGAP1;POLRMT;SMNDC1;CNOT8,ZC3HAV1;FAM98A;GSTK1;CKAP2;MAGT1;FBXO28;UBR7;MARK2;RPL30;SUGP1;ACAD8;RPL22L1;GLTSCR2;C20orf7;REPIN1;ACOT2;ZGPAT;BCORL1;SP140L;CEP164;ACSS1;DHX30;SPATA5L1;ZNF577;DNLZ;MRPS21;SPAG1;MYH4;NIPBL;TCEB2;MB21D1;RPAP3;ZW10;C6orf150;SOGA1;ZKSCAN1;VRK2;MAP7D1;C2orf56;METTL8;RACGAP1;POLRMT;SMNDC1;CNOT8,Y
EGLN1,4,APOBEC3C;N6AMT2;PTGES3;CBWD1,APOBEC3C;N6AMT2;PTGES3;CBWD1,N
MLH1,22,PMS2;FKBP8;HDLBP;ELMO2;PLXNA3;CTTN;VAMP3;MLH1;MAD2L1;LYST;PSMD6;INO80;BRIP1;SLC25A1;AMOT;MCM8;NANP;MCM9;FAN1;MLH3;PMS1;CAPZA2,PMS2;FKBP8;HDLBP;ELMO2;PLXNA3;CTTN;VAMP3;MAD2L1;LYST;PSMD6;INO80;BRIP1;SLC25A1;AMOT;MCM8;NANP;MCM9;FAN1;MLH3;PMS1;CAPZA2,Y
FKBP5,254,KIAA1279;PIPOX;NEK11;CLIC3;FKBP8;DNAJC21;HAUS5;MCM7;BBS1;CDC37;IKBKB;CDK3;MARK2;EIF2AK1;AGO1;PTK2;EPHB4;NUP160;DNA2;PTGES3;WDR92;FKBP5;CDK15;AMACR;MARK4;UQCRB;KDM4B;SHPRH;RAD54B;CTC1;TSSK6;CDK11A;PI4KA;SMG8;PRKAA1;ABCE1;DDX11L8;PDHB;DDX12P;HSP90AB1;44M2.3;WHSC1;CAPZB;PRRX1;ZCCHC11;CHUK;AHSA1;MCM8;COX5A;TOP2A;MAP2K2;NEIL3;POLR2B;POTEE;MTBP;PYGL;NUDC;PRKY;MCM6;HSP90AB4P;WRAP73;EIF2C1;TRMT6;RCL1;ARMCX5;DRG1;PIH1D1;MTO1;ASNSD1;STX12;AMHR2;HSP90AA1;PPP5C;NAT10;EML4;CST4;RAF1;ATR;MLK4;CDC2;URI1;HSP90AB2P;CDK4;PRKCQ;SMARCAL1;PI4KAP1;AURKC;IPO5;POLR3B;IRAK3;PSME3;CMA1;PDCD11;FANCI;INSRR;PTDSS2;DNAJB6;GSK3B;TRAP1;LGALS1;FASN;PRKACB;NUP85;CDK6;SGK2;POLE;NMT1;PRKD1;ALDH1B1;CDK1;PPP2R5D;MAP3K6;PPP2R5C;IKBKAP;IBTK;NYNRIN;CDK9;CACYBP;TTC26;FER;SACS;PPP2R1B;AGO4;TTC4;CHD7;PLD2;MCM4;CDKL4;SGK1;BRAF;AGO3;PYGB;CDK11B;AMY1C;RPF2;TOMM70A;CAD;DNAJC11;RUVBL2;PLEKHH1;PDIK1L;CPSF1;TTI1;POLD1;ELP2;PRPF8;STIP1;C5ORF34;CDK5RAP1;RPS6KA4;ANAPC1;IARS2;NEK4;CXORF57;NANS;PRKDC;G6PD;EIF2C4;RPS6KB2;ATP6V0A4;SRMS;TRMT2A;LLGL1;MOS;DKFZP434B156;ZG16B;CLK3;TTF2;MARK3;HSPA8;WDR90;TTC37;LIMS1;YTHDC2;CDK18;ESPL1;ANAPC5;PPP2R1A;NUDCD2;MCM3;RUVBL1;EFTUD2;PLCE1;NSUN5;DLAT;MAP3K7;SKIV2L;EPHB6;NOC2L;PKN2;PRR14L;CAMK2G;HCFC1;FAM120A;HACD3;NUDCD3;ICK;TOP2B;EIF2C3;DEPDC1;PINK1;NSUN2;POLR1B;C21ORF59;PRKD2;MAPK7;PTOV1;CAMKK2;PRKD3;IRAK1;RSU1;GEMIN5;AGO2;MCM2;NDUFA3;STK11;DDX59;PLA2G4A;PPWD1;BUB1;NR3C1;DDX52;STK35;DDX11;METTL21B;IGHA2;PRKX;DHX33;FLII;MCMBP;RPAP3;CDKL2;AKT3;CDK13;MELK;CDKL1;SUGT1;MOV10;CDK7;DDX18;CDK10;GGH;PIK3C2A;HPS3;LATS1;IKBKG;POLR2E;ULK3;NCAPG2;WDR6;URB2;HSPA1L;GLMN;PSKH2,KIAA1279;PIPOX;NEK11;CLIC3;FKBP8;DNAJC21;HAUS5;MCM7;BBS1;CDC37;IKBKB;CDK3;MARK2;EIF2AK1;AGO1;PTK2;EPHB4;NUP160;DNA2;PTGES3;WDR92;CDK15;AMACR;MARK4;UQCRB;KDM4B;SHPRH;RAD54B;CTC1;TSSK6;CDK11A;PI4KA;SMG8;PRKAA1;ABCE1;DDX11L8;PDHB;DDX12P;HSP90AB1;44M2.3;WHSC1;CAPZB;PRRX1;ZCCHC11;CHUK;AHSA1;MCM8;COX5A;TOP2A;MAP2K2;NEIL3;POLR2B;POTEE;MTBP;PYGL;NUDC;PRKY;MCM6;HSP90AB4P;WRAP73;EIF2C1;TRMT6;RCL1;ARMCX5;DRG1;PIH1D1;MTO1;ASNSD1;STX12;AMHR2;HSP90AA1;PPP5C;NAT10;EML4;CST4;RAF1;ATR;MLK4;CDC2;URI1;HSP90AB2P;CDK4;PRKCQ;SMARCAL1;PI4KAP1;AURKC;IPO5;POLR3B;IRAK3;PSME3;CMA1;PDCD11;FANCI;INSRR;PTDSS2;DNAJB6;GSK3B;TRAP1;LGALS1;FASN;PRKACB;NUP85;CDK6;SGK2;POLE;NMT1;PRKD1;ALDH1B1;CDK1;PPP2R5D;MAP3K6;PPP2R5C;IKBKAP;IBTK;NYNRIN;CDK9;CACYBP;TTC26;FER;SACS;PPP2R1B;AGO4;TTC4;CHD7;PLD2;MCM4;CDKL4;SGK1;BRAF;AGO3;PYGB;CDK11B;AMY1C;RPF2;TOMM70A;CAD;DNAJC11;RUVBL2;PLEKHH1;PDIK1L;CPSF1;TTI1;POLD1;ELP2;PRPF8;STIP1;C5ORF34;CDK5RAP1;RPS6KA4;ANAPC1;IARS2;NEK4;CXORF57;NANS;PRKDC;G6PD;EIF2C4;RPS6KB2;ATP6V0A4;SRMS;TRMT2A;LLGL1;MOS;DKFZP434B156;ZG16B;CLK3;TTF2;MARK3;HSPA8;WDR90;TTC37;LIMS1;YTHDC2;CDK18;ESPL1;ANAPC5;PPP2R1A;NUDCD2;MCM3;RUVBL1;EFTUD2;PLCE1;NSUN5;DLAT;MAP3K7;SKIV2L;EPHB6;NOC2L;PKN2;PRR14L;CAMK2G;HCFC1;FAM120A;HACD3;NUDCD3;ICK;TOP2B;EIF2C3;DEPDC1;PINK1;NSUN2;POLR1B;C21ORF59;PRKD2;MAPK7;PTOV1;CAMKK2;PRKD3;IRAK1;RSU1;GEMIN5;AGO2;MCM2;NDUFA3;STK11;DDX59;PLA2G4A;PPWD1;BUB1;NR3C1;DDX52;STK35;DDX11;METTL21B;IGHA2;PRKX;DHX33;FLII;MCMBP;RPAP3;CDKL2;AKT3;CDK13;MELK;CDKL1;SUGT1;MOV10;CDK7;DDX18;CDK10;GGH;PIK3C2A;HPS3;LATS1;IKBKG;POLR2E;ULK3;NCAPG2;WDR6;URB2;HSPA1L;GLMN;PSKH2,Y
DOCK5,56,NOL11;SDC2;C17orf71;PIK3R3;TUBB8;TTC28;RAB3GAP1;AHI1;BSG;TRIM65;ELMO2;PRKD2;RHOT2;ZHX2;DPYSL4;ACACB;VSIG4;MTR;TUBB1;SGCA;MOCOS;RPAP1;USP19;C5orf34;SPSB2;SPSB3;DOCK1;DDX11;SHMT1;METTL21B;TUBB3;BAG2;SPSB4;TGOLN2;RNASEL;MADD;KIAA0232;PJA1;OPALIN;PLEKHG4;ELMO3;GPN2;BCAS3;MYCBP2;ATP1A2;BRIP1;WDR59;RAC2;ANKRD54;MKS1;KIAA0100;KIAA0467;GPR182;ELMO1;PIK3CB;ATG2B,NOL11;SDC2;C17orf71;PIK3R3;TUBB8;TTC28;RAB3GAP1;AHI1;BSG;TRIM65;ELMO2;PRKD2;RHOT2;ZHX2;DPYSL4;ACACB;VSIG4;MTR;TUBB1;SGCA;MOCOS;RPAP1;USP19;C5orf34;SPSB2;SPSB3;DOCK1;DDX11;SHMT1;METTL21B;TUBB3;BAG2;SPSB4;TGOLN2;RNASEL;MADD;KIAA0232;PJA1;OPALIN;PLEKHG4;ELMO3;GPN2;BCAS3;MYCBP2;ATP1A2;BRIP1;WDR59;RAC2;ANKRD54;MKS1;KIAA0100;KIAA0467;GPR182;ELMO1;PIK3CB;ATG2B,Y
WDR54,5,POFUT1;USP9X;MAPK8IP3;OSCP1;FLYWCH2,POFUT1;USP9X;MAPK8IP3;OSCP1;FLYWCH2,Y
C12orf4,6,PDDC1;TBCK;KLRAQ1;CRYZL1;SRC;GAPDHS,PDDC1;TBCK;KLRAQ1;CRYZL1;SRC;GAPDHS,Y
MNAT1,21,ZNF747;LOC254896;TMEM25;C12orf74;D2HGDH;C10orf53;GMPPB;B4GALT2;C11orf71;GTF2H2;NSUN5P1;GTF2H1;CCNH;HOXB1;CDK7;C9orf163;ERCC2;ERCC3;GTF2H4;CDH26;PI15,ZNF747;LOC254896;TMEM25;C12orf74;D2HGDH;C10orf53;GMPPB;B4GALT2;C11orf71;GTF2H2;NSUN5P1;GTF2H1;CCNH;HOXB1;CDK7;C9orf163;ERCC2;ERCC3;GTF2H4;CDH26;PI15,Y
RPL11,237,C7orf50;RPL18;RPL35;MPHOSPH10;H1FX;GNL3;RPS6;NOC3L;RPS4X;UFM1;ZNF771;NKRF;NUFIP2;RPS5;RPS11;SURF6;RSBN1;EIF3E;RSRC1;RSBN1L;RPL10;SERBP1;LUC7L;SRSF6;TTF1;RSL1D1;DDX56;RPL26;RPS25;AATF;NGDN;PDCD4;FAM111A;ZNF346;ATXN2;RPL11;DHX30;RPL17-C18ORF32;EIF3H;DDX10;CTCF;RPL24;RPS19;HIST1H1T;RPSA;DDX31;RPL9;RBMX2;NOP2;WHSC1;RPS16;RPL39P5;GNB2L1;RPL21;CDC5L;RRP8;EPB41L4B;NEIL1;RPL8;NPM3;HIST2H2AB;ZNF888;RPL15;RPL18A;CCDC124;RPL37A;RRP1B;RPLP0P6;RPS2;FASTKD2;SUB1;RPL6;MLF1IP;ZFR;RPL7;BMS1;TRIP12;PRKRA;KBTBD6;RPL22L1;RPS15;HIST1H1E;RPLP0;GLTSCR2;REPIN1;DDX50;GPATCH4;LIN28A;PAPD5;IMP4;RPLP2;RPL14;RPL7A;HIST2H2BF;ZNF622;RPL22;RPF1;RBM34;RPL4;PRPF4B;LARP1;RPL13A;EBNA1BP2;ZBTB11;MDM2;MAK16;SSRP1;WDR74;FAU;C8orf33;UTP23;DKC1;USP42;RPL17;RPL3;SURF2;HEATR3;GNL2;RPL23A;RPS3;BUD13;NOP16;ZC3HAV1;MYBBP1A;NMNAT1;MAGEB2;GLYR1;ZNF512;ZNF770;DDX51;RPL5;RPL13;ZNF574;SRP72;RPF2;NIP7;C1orf35;RPS8;FAM135A;RPS28;RPS18;ANKRD17;NCL;SRSF5;KIAA0020;RPL26L1;TAF1C;EPB41L5;BRIX1;RPL36;TRIM56;RPS27L;NOM1;RPL19;PRDM15;RRS1;RPS26;RPL39;FCF1;GLE1;CEBPZ;RPL7L1;ZBTB10;RPS13;ZNF184;PAK1IP1;RPL34;RBM28;CCDC59;NVL;LARP7;NOL12;EIF3M;ABT1;GZF1;NEMF;C16orf88;RPS15A;NOC2L;RPS21;LLPH;EIF3K;SSR1;LSG1;ZNF724P;RPL32;FTSJ3;ZNF668;PRRC2C;DHX9;ZNF354A;DDX27;RPL31;STAU1;NSUN2;RPS7;RPS24;CWF19L2;PPAN-P2RY11;EIF3A;CCDC137;RPL30;CCDC86;LYAR;DDX24;SDAD1;ZNF689;HP1BP3;ZNF768;GTPBP4;SRP68;IMP3;MKI67IP;UTP3;DDX54;RPS3A;ZCCHC7;RPL10A;BOP1;RPL28;RSL24D1;SRPK2;RPS20;MTDH;KTN1;RPL27A;PBRM1;RRP15;RPLP1;DDX18;RPL27;RNH1;SUPT16H;GAR1;RPS23;TAF1D;NSA2,C7orf50;RPL18;RPL35;MPHOSPH10;H1FX;GNL3;RPS6;NOC3L;RPS4X;UFM1;ZNF771;NKRF;NUFIP2;RPS5;RPS11;SURF6;RSBN1;EIF3E;RSRC1;RSBN1L;RPL10;SERBP1;LUC7L;SRSF6;TTF1;RSL1D1;DDX56;RPL26;RPS25;AATF;NGDN;PDCD4;FAM111A;ZNF346;ATXN2;DHX30;RPL17-C18ORF32;EIF3H;DDX10;CTCF;RPL24;RPS19;HIST1H1T;RPSA;DDX31;RPL9;RBMX2;NOP2;WHSC1;RPS16;RPL39P5;GNB2L1;RPL21;CDC5L;RRP8;EPB41L4B;NEIL1;RPL8;NPM3;HIST2H2AB;ZNF888;RPL15;RPL18A;CCDC124;RPL37A;RRP1B;RPLP0P6;RPS2;FASTKD2;SUB1;RPL6;MLF1IP;ZFR;RPL7;BMS1;TRIP12;PRKRA;KBTBD6;RPL22L1;RPS15;HIST1H1E;RPLP0;GLTSCR2;REPIN1;DDX50;GPATCH4;LIN28A;PAPD5;IMP4;RPLP2;RPL14;RPL7A;HIST2H2BF;ZNF622;RPL22;RPF1;RBM34;RPL4;PRPF4B;LARP1;RPL13A;EBNA1BP2;ZBTB11;MDM2;MAK16;SSRP1;WDR74;FAU;C8orf33;UTP23;DKC1;USP42;RPL17;RPL3;SURF2;HEATR3;GNL2;RPL23A;RPS3;BUD13;NOP16;ZC3HAV1;MYBBP1A;NMNAT1;MAGEB2;GLYR1;ZNF512;ZNF770;DDX51;RPL5;RPL13;ZNF574;SRP72;RPF2;NIP7;C1orf35;RPS8;FAM135A;RPS28;RPS18;ANKRD17;NCL;SRSF5;KIAA0020;RPL26L1;TAF1C;EPB41L5;BRIX1;RPL36;TRIM56;RPS27L;NOM1;RPL19;PRDM15;RRS1;RPS26;RPL39;FCF1;GLE1;CEBPZ;RPL7L1;ZBTB10;RPS13;ZNF184;PAK1IP1;RPL34;RBM28;CCDC59;NVL;LARP7;NOL12;EIF3M;ABT1;GZF1;NEMF;C16orf88;RPS15A;NOC2L;RPS21;LLPH;EIF3K;SSR1;LSG1;ZNF724P;RPL32;FTSJ3;ZNF668;PRRC2C;DHX9;ZNF354A;DDX27;RPL31;STAU1;NSUN2;RPS7;RPS24;CWF19L2;PPAN-P2RY11;EIF3A;CCDC137;RPL30;CCDC86;LYAR;DDX24;SDAD1;ZNF689;HP1BP3;ZNF768;GTPBP4;SRP68;IMP3;MKI67IP;UTP3;DDX54;RPS3A;ZCCHC7;RPL10A;BOP1;RPL28;RSL24D1;SRPK2;RPS20;MTDH;KTN1;RPL27A;PBRM1;RRP15;RPLP1;DDX18;RPL27;RNH1;SUPT16H;GAR1;RPS23;TAF1D;NSA2,Y
MED13,22,NR1I3;MED10;MED1;CDK19;MED20;MED21;PTRH1;MED12;MED24;FBXL19;MED4;MED23;MED28;MED19;MED29;CCNC;TCL1B;MED18;CDK8;MED17;MED22;MED7,NR1I3;MED10;MED1;CDK19;MED20;MED21;PTRH1;MED12;MED24;FBXL19;MED4;MED23;MED28;MED19;MED29;CCNC;TCL1B;MED18;CDK8;MED17;MED22;MED7,N
